,name,url,history
0,musiquinta,https://mastodon.social/tags/musiquinta,"[{'day': '1717027200', 'accounts': '92', 'uses': '226'}, {'day': '1716940800', 'accounts': '2', 'uses': '2'}, {'day': '1716854400', 'accounts': '2', 'uses': '2'}, {'day': '1716768000', 'accounts': '1', 'uses': '2'}, {'day': '1716681600', 'accounts': '1', 'uses': '1'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '9', 'uses': '9'}]"
1,guilty,https://mastodon.social/tags/guilty,"[{'day': '1717027200', 'accounts': '149', 'uses': '214'}, {'day': '1716940800', 'accounts': '8', 'uses': '11'}, {'day': '1716854400', 'accounts': '2', 'uses': '3'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '1', 'uses': '1'}, {'day': '1716508800', 'accounts': '2', 'uses': '2'}]"
2,ThrowbackThursday,https://mastodon.social/tags/throwbackthursday,"[{'day': '1717027200', 'accounts': '81', 'uses': '87'}, {'day': '1716940800', 'accounts': '3', 'uses': '3'}, {'day': '1716854400', 'accounts': '2', 'uses': '2'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '9', 'uses': '18'}]"
3,trumpisguilty,https://mastodon.social/tags/trumpisguilty,"[{'day': '1717027200', 'accounts': '42', 'uses': '62'}, {'day': '1716940800', 'accounts': '1', 'uses': '2'}, {'day': '1716854400', 'accounts': '2', 'uses': '2'}, {'day': '1716768000', 'accounts': '1', 'uses': '1'}, {'day': '1716681600', 'accounts': '2', 'uses': '5'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '2', 'uses': '5'}]"
4,IfAIDisclaimersWereSongs,https://mastodon.social/tags/ifaidisclaimersweresongs,"[{'day': '1717027200', 'accounts': '60', 'uses': '157'}, {'day': '1716940800', 'accounts': '0', 'uses': '0'}, {'day': '1716854400', 'accounts': '0', 'uses': '0'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '0', 'uses': '0'}]"
5,ThursdayFiveList,https://mastodon.social/tags/thursdayfivelist,"[{'day': '1717027200', 'accounts': '40', 'uses': '45'}, {'day': '1716940800', 'accounts': '0', 'uses': '0'}, {'day': '1716854400', 'accounts': '0', 'uses': '0'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '0', 'uses': '0'}]"
6,trumpguilty,https://mastodon.social/tags/trumpguilty,"[{'day': '1717027200', 'accounts': '37', 'uses': '46'}, {'day': '1716940800', 'accounts': '0', 'uses': '0'}, {'day': '1716854400', 'accounts': '0', 'uses': '0'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '0', 'uses': '0'}]"
7,thehands,https://mastodon.social/tags/thehands,"[{'day': '1717027200', 'accounts': '35', 'uses': '40'}, {'day': '1716940800', 'accounts': '0', 'uses': '0'}, {'day': '1716854400', 'accounts': '0', 'uses': '0'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '0', 'uses': '0'}]"
8,tbt,https://mastodon.social/tags/tbt,"[{'day': '1717027200', 'accounts': '28', 'uses': '32'}, {'day': '1716940800', 'accounts': '1', 'uses': '1'}, {'day': '1716854400', 'accounts': '1', 'uses': '1'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '1', 'uses': '1'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '3', 'uses': '3'}]"
9,Felon,https://mastodon.social/tags/Felon,"[{'day': '1717027200', 'accounts': '26', 'uses': '36'}, {'day': '1716940800', 'accounts': '0', 'uses': '0'}, {'day': '1716854400', 'accounts': '0', 'uses': '0'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '0', 'uses': '0'}, {'day': '1716595200', 'accounts': '0', 'uses': '0'}, {'day': '1716508800', 'accounts': '0', 'uses': '0'}]"
10,trump,https://mastodon.social/tags/trump,"[{'day': '1717027200', 'accounts': '486', 'uses': '764'}, {'day': '1716940800', 'accounts': '158', 'uses': '325'}, {'day': '1716854400', 'accounts': '138', 'uses': '371'}, {'day': '1716768000', 'accounts': '96', 'uses': '161'}, {'day': '1716681600', 'accounts': '111', 'uses': '171'}, {'day': '1716595200', 'accounts': '91', 'uses': '160'}, {'day': '1716508800', 'accounts': '121', 'uses': '216'}]"
11,dwd3,https://mastodon.social/tags/dwd3,"[{'day': '1717027200', 'accounts': '52', 'uses': '58'}, {'day': '1716940800', 'accounts': '0', 'uses': '0'}, {'day': '1716854400', 'accounts': '0', 'uses': '0'}, {'day': '1716768000', 'accounts': '31', 'uses': '79'}, {'day': '1716681600', 'accounts': '7', 'uses': '19'}, {'day': '1716595200', 'accounts': '4', 'uses': '5'}, {'day': '1716508800', 'accounts': '42', 'uses': '61'}]"
12,GPN22,https://mastodon.social/tags/GPN22,"[{'day': '1717027200', 'accounts': '326', 'uses': '594'}, {'day': '1716940800', 'accounts': '118', 'uses': '172'}, {'day': '1716854400', 'accounts': '76', 'uses': '123'}, {'day': '1716768000', 'accounts': '57', 'uses': '97'}, {'day': '1716681600', 'accounts': '35', 'uses': '45'}, {'day': '1716595200', 'accounts': '17', 'uses': '23'}, {'day': '1716508800', 'accounts': '12', 'uses': '12'}]"
13,verdict,https://mastodon.social/tags/verdict,"[{'day': '1717027200', 'accounts': '39', 'uses': '63'}, {'day': '1716940800', 'accounts': '3', 'uses': '7'}, {'day': '1716854400', 'accounts': '2', 'uses': '2'}, {'day': '1716768000', 'accounts': '0', 'uses': '0'}, {'day': '1716681600', 'accounts': '1', 'uses': '1'}, {'day': '1716595200', 'accounts': '1', 'uses': '1'}, {'day': '1716508800', 'accounts': '0', 'uses': '0'}]"
